,latitude,longitude,availability_365,id,reviews,last_review
361,-22.928947760323613,-43.194271259514665,321,523503,6,2018-04-02
362,-23.01301035179045,-43.3132371205932,218,527163,17,2018-04-03
363,-22.981557796887,-43.20011514946523,364,528558,1,2016-08-22
364,-22.974237779015155,-43.18792200143999,323,528943,15,2018-03-25
365,-22.98619649385698,-43.19862431018172,283,528951,12,2018-02-15
366,-22.94475397982131,-43.1824441767315,365,529194,1,2018-02-15
367,-22.97644149227863,-43.18954097175256,280,530753,5,2018-02-17
368,-22.970492442299108,-43.35751947164631,304,531535,9,2018-03-04
369,-22.98700369007872,-43.19664947414503,176,536931,17,2018-04-12
370,-22.92955498663364,-43.19463965569173,365,537390,0,2018-01-23
371,-22.981482659186906,-43.217574268811184,364,538034,1,2016-01-05
372,-22.968064019054616,-43.185613498671245,365,540421,0,2016-08-20
373,-22.99023329238672,-43.35242053173522,365,542100,0,2017-12-02
374,-22.943283925318617,-43.20431177166325,364,545007,1,2018-02-13
375,-22.94969008525224,-43.18553269552725,312,555606,28,2018-03-30
376,-22.95506424094596,-43.17513823579456,365,561102,1,2018-03-27
377,-22.975486285711717,-43.19008521494207,76,564564,0,2016-04-23
378,-22.974949853421453,-43.18883359835319,280,564578,1,2017-03-07
379,-22.970777384066352,-43.18481663852539,363,566927,14,2018-03-30
380,-22.983715592038397,-43.19458502850025,331,569509,21,2018-04-02
381,-22.961553106286583,-43.17559264788392,365,569762,0,2016-08-19
382,-22.960884110028893,-43.17392412751349,365,569771,1,2015-02-17
383,-22.98158695428948,-43.19478733959311,364,569908,4,2018-02-16
384,-22.965282555226107,-43.19076667944667,120,570053,0,2018-03-18
385,-22.97067462796077,-43.189217268908685,328,571163,2,2017-03-01
386,-22.963560904332823,-43.17930699462975,358,573086,0,2017-09-25
387,-22.9169487135445,-43.19210894948472,357,575333,0,2013-10-07
388,-22.966531891873803,-43.179787783062,363,577253,6,2018-02-13
389,-22.921137314423387,-43.186032660665134,365,579448,0,2015-08-10
390,-22.92180441110233,-43.186020745059146,365,579704,0,2013-10-04
391,-22.921072228928,-43.18674901292465,365,579756,1,2014-06-28
392,-22.96228987141479,-43.175555099163816,353,584211,15,2017-07-12
393,-22.965194378618364,-43.20152496849301,365,585316,0,2014-07-13
394,-22.982098459833946,-43.19922746009163,278,588751,1,2018-01-07
395,-22.98503395930607,-43.20624931363533,365,589233,0,2017-02-24
396,-22.98525366705828,-43.20481292410654,365,589234,0,2016-08-22
397,-23.003721773488504,-43.34517051662545,348,590585,0,2016-09-17
398,-22.9642319834888,-43.17948653380939,365,592628,4,2018-02-13
399,-22.960311335873413,-43.21159277958166,365,596454,0,2016-08-21
400,-22.94958093971545,-43.18098249202174,364,602907,1,2018-01-15
401,-22.986984191477195,-43.19295455159264,283,603810,33,2018-03-30
402,-22.98353336761102,-43.19422420509184,180,604508,0,2018-02-18
403,-22.933778581920286,-43.1985922238919,365,613205,1,2014-06-30
404,-22.97775231220498,-43.23313074793033,365,613778,0,2018-02-15
405,-22.966869841288503,-43.18360310739178,23,623191,0,2017-09-19
